,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,MATIC-USD,69.77236343706714,21.0
1,AAVE-USD,BCH-USD,0.5505492396450828,24.0
2,ZEC-USD,CELO-USD,80.49435999573515,8.0
3,ALGO-USD,CELO-USD,0.3627379608827414,21.0
4,ALGO-USD,LTC-USD,0.0024692085218919516,9.0
5,ETH-USD,CELO-USD,2494.530761262569,10.0
6,UMA-USD,1INCH-USD,3.922908101858286,7.0
7,UMA-USD,XTZ-USD,2.028903092022448,17.0
8,UMA-USD,BTC-USD,9.23610357877205e-05,14.0
9,UMA-USD,LINK-USD,0.26881958006909273,6.0
10,UMA-USD,YFI-USD,0.00028799359706871826,9.0
11,UMA-USD,DOGE-USD,21.413562532683144,6.0
12,UMA-USD,ZRX-USD,9.811012253078255,10.0
13,UMA-USD,MATIC-USD,1.954103174081466,8.0
14,UMA-USD,BCH-USD,0.015421167498372667,9.0
15,UMA-USD,RUNE-USD,1.1501658209325332,10.0
16,1INCH-USD,XTZ-USD,0.5171420790412298,22.0
17,1INCH-USD,XLM-USD,5.33846717381995,5.0
18,ADA-USD,SNX-USD,0.17172002156898825,11.0
19,CRV-USD,CELO-USD,1.1002961661430435,18.0
20,SNX-USD,SUSHI-USD,1.56520897376774,14.0
21,SNX-USD,FIL-USD,0.48435159997304994,9.0
22,SNX-USD,CELO-USD,3.1237579230482435,18.0
23,SNX-USD,COMP-USD,0.04728908561542735,21.0
24,SUSHI-USD,CELO-USD,1.9951771153605042,16.0
25,SUSHI-USD,COMP-USD,0.030210923513757502,12.0
26,FIL-USD,CELO-USD,6.445068504071234,18.0
27,FIL-USD,ATOM-USD,0.32519426700312953,11.0
28,CELO-USD,ATOM-USD,0.050381908815921785,16.0
29,CELO-USD,COMP-USD,0.015129582712381882,13.0
30,CELO-USD,DOT-USD,0.10915119948756376,7.0
31,CELO-USD,EOS-USD,0.5578934904878281,17.0
32,CELO-USD,UNI-USD,0.0928743584709986,8.0
33,CELO-USD,LTC-USD,0.006796935337345211,14.0
34,CELO-USD,XMR-USD,0.003299256864902003,13.0
35,CELO-USD,XLM-USD,6.67542202712153,13.0
36,ATOM-USD,LTC-USD,0.13487984757576155,11.0
37,XTZ-USD,YFI-USD,0.00014191441566034467,9.0
38,XTZ-USD,ZRX-USD,4.834548021194577,9.0
39,XTZ-USD,MATIC-USD,0.9628411818510233,18.0
40,XTZ-USD,RUNE-USD,0.5667558786300849,14.0
41,LINK-USD,DOGE-USD,79.65378330660604,6.0
42,LINK-USD,ZRX-USD,36.495136887861804,10.0
43,COMP-USD,DOT-USD,7.211712797199021,11.0
44,COMP-USD,EOS-USD,36.86292084976649,20.0
45,COMP-USD,BCH-USD,0.3247523677531477,19.0
46,YFI-USD,ZRX-USD,34062.09630463451,8.0
47,YFI-USD,RUNE-USD,3993.3977094333036,6.0
48,DOGE-USD,MATIC-USD,0.09123797980858413,14.0
49,EOS-USD,BCH-USD,0.008808883026883636,9.0
50,ZRX-USD,MATIC-USD,0.19913985480583873,10.0
51,ZRX-USD,AVAX-USD,0.013715145988756833,12.0
52,ZRX-USD,XLM-USD,2.134069028342298,16.0
53,ZRX-USD,RUNE-USD,0.11722050382626281,7.0
54,UNI-USD,LTC-USD,0.07319671036956117,21.0
55,MATIC-USD,BCH-USD,0.007890940190480688,10.0
56,MATIC-USD,XLM-USD,10.716550499341526,12.0
57,MATIC-USD,RUNE-USD,0.5885523075041093,11.0
58,BCH-USD,AVAX-USD,8.726357263863502,14.0
